Departamento,Municipio,Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
ANTIOQUIA,ABEJORRAL,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,767195142.55,1539392985.28,179849670.98,18072117.97,2071867.18,ND,2506581783.96,123362646.97,382931424.42,145239416.99,113684592.01,765218080.39
ANTIOQUIA,ABEJORRAL,ENERTOTAL S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,30583002,ND,ND,30583002
ANTIOQUIA,ABRIAQUI,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,44914390.86,143381966.28,28813972.84,ND,ND,664694.33,217775024.31,27509989.89,74343404.38,16626057.54,25871481.03,144350932.84
ANTIOQUIA,ALEJANDRIA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,97194756.8,348731763.07,100809647.66,3153083.93,ND,187539.21,550076790.67,15788133.92,150785446.12,30132527.2,35689548.42,232395655.66
ANTIOQUIA,AMAGA,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,243336719,ND,ND,ND,243336719
ANTIOQUIA,AMAGA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,1525920739.19,2469664097.22,442223268.86,145268831.87,141136723.03,63747110.91,4787960771.08,6993539474.05,1188285369.96,144141966.53,521824815.83,8847791626.37
ANTIOQUIA,AMAGA,VATIA S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,328749160,ND,ND,ND,328749160
ANTIOQUIA,AMALFI,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,820402728.09,997699242.25,844771335.73,10055334.26,15825508.26,11985559.61,2700739708.2,375449663.46,551565648.54,220565804.76,158055342.37,1305636459.13
ANTIOQUIA,ANDES,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Valor Consumo Empresa Departamento y Municipio,1009667769.05,3655636207.1,854306067.31,67957730.89,3611430.3,ND,5591179204.65,632679579.81,2109528033.42,370553336.99,244409062.99,3357170013.21
ANTIOQUIA,ANDES,ENERTOTAL S.A. E.S.P.,Valor Consumo Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,87059929,87059929
