,Departamento,Municipio,Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial,year,land_type,data_type
338,BOGOTA, D.C.,CHVC,factura promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Factura Promedio
339,BOGOTA, D.C.,CDSD,factura promedio Empresa Departamento y Municipio,346158.03,454567.8,591507.55,501782.5,1246652.71,2010966.43,507207.82,9871412.96,2914026.23,16324032.61,2353659.86,5980556.82,2018,Rural,Factura Promedio
340,BOGOTA, D.C.,CTSD,factura promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Factura Promedio
341,BOGOTA, D.C.,DCLC,factura promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104478979.0,0.0,0.0,104478979.0,2018,Rural,Factura Promedio
342,BOGOTA, D.C.,EDCD,factura promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Factura Promedio
343,BOGOTA, D.C.,HLAD,factura promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Factura Promedio
344,BOGOTA, D.C.,ENDC,factura promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1519942555.05,3186607093.0,0.0,293904231.33,1567152506.57,2018,Rural,Factura Promedio
345,BOGOTA, D.C.,EPSD,factura promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Factura Promedio
346,BOGOTA, D.C.,EEPD,factura promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Factura Promedio
347,BOGOTA, D.C.,EMID,factura promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Factura Promedio
348,BOGOTA, D.C.,EPMD,factura promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2890879248.25,0.0,0.0,0.0,2890879248.25,2018,Rural,Factura Promedio
349,BOGOTA, D.C.,NRCC,factura promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5484646.0,11709566.0,0.0,0.0,8597106.0,2018,Rural,Factura Promedio
350,BOGOTA, D.C.,RQEC,factura promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Factura Promedio
351,BOGOTA, D.C.,ETTC,factura promedio Empresa Departamento y Municipio,0.0,0.0,1247794.81,0.0,0.0,0.0,1247794.81,115795152.3,5843674.0,0.0,21655860.5,81252951.07,2018,Rural,Factura Promedio
352,BOGOTA, D.C.,ISGC,factura promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Factura Promedio
353,BOGOTA, D.C.,PEEC,factura promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145236727.5,0.0,10589871.0,0.0,118307356.2,2018,Rural,Factura Promedio
354,BOGOTA, D.C.,RTQD,factura promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Factura Promedio
355,BOGOTA, D.C.,TPLC,factura promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Factura Promedio
356,BOGOTA, D.C.,GNCC,factura promedio Empresa Departamento y Municipio,0.0,0.0,421364.0,0.0,0.0,0.0,421364.0,86106548.15,19694295.0,0.0,0.0,81362815.79,2018,Rural,Factura Promedio
0,ANTIOQUIA,ABEJORRAL,EPMD,factura promedio Empresa Departamento y Municipio,265065.4,331075.85,500099.35,653557.13,1035933.59,0.0,308360.04,2259198.14,706741.6,384916.2,955478.18,862218.78,2018,Rural,Factura Promedio
1,ANTIOQUIA,ABEJORRAL,ETTC,factura promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Factura Promedio
2,ANTIOQUIA,ABRIAQUI,EPMD,factura promedio Empresa Departamento y Municipio,190640.66,224078.51,301860.23,0.0,0.0,664694.33,219338.9,5493468.81,2015430.9,309071.18,25871481.03,2606991.03,2018,Rural,Factura Promedio
3,ANTIOQUIA,ALEJANDRIA,EPMD,factura promedio Empresa Departamento y Municipio,211254.33,213049.83,319918.3,338109.04,0.0,187539.21,225406.09,1321880.22,79946.7,483423.87,15885696.82,1320190.53,2018,Rural,Factura Promedio
4,ANTIOQUIA,AMAGA,HLAD,factura promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243336719.0,0.0,0.0,0.0,243336719.0,2018,Rural,Factura Promedio
5,ANTIOQUIA,AMAGA,EPMD,factura promedio Empresa Departamento y Municipio,436775.68,473707.0,827169.04,1142319.49,1306821.51,1722894.89,514673.61,55401612.78,1696310.96,1380494.75,28746211.17,22251033.5,2018,Rural,Factura Promedio
