,Departamento,Municipio,Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial,year,land_type,data_type
338,BOGOTA, D.C.,CHVC,consumo promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Consumo Promedio
339,BOGOTA, D.C.,CDSD,consumo promedio Empresa Departamento y Municipio,707.09,936.76,1217.22,1007.58,2580.62,4145.8,1043.32,20748.38,6325.33,32743.0,4818.5,12494.9,2018,Rural,Consumo Promedio
340,BOGOTA, D.C.,CTSD,consumo promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Consumo Promedio
341,BOGOTA, D.C.,DCLC,consumo promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273542.0,0.0,0.0,273542.0,2018,Rural,Consumo Promedio
342,BOGOTA, D.C.,EDCD,consumo promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Consumo Promedio
343,BOGOTA, D.C.,HLAD,consumo promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Consumo Promedio
344,BOGOTA, D.C.,ENDC,consumo promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5007462.18,10438207.67,0.0,711047.33,5128997.61,2018,Rural,Consumo Promedio
345,BOGOTA, D.C.,EPSD,consumo promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Consumo Promedio
346,BOGOTA, D.C.,EEPD,consumo promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Consumo Promedio
347,BOGOTA, D.C.,EMID,consumo promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Consumo Promedio
348,BOGOTA, D.C.,EPMD,consumo promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8952929.0,0.0,0.0,0.0,8952929.0,2018,Rural,Consumo Promedio
349,BOGOTA, D.C.,NRCC,consumo promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12011.0,25757.0,0.0,0.0,18884.0,2018,Rural,Consumo Promedio
350,BOGOTA, D.C.,RQEC,consumo promedio Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Consumo Promedio
