,Departamento,Municipio,Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial,year,land_type,data_type
338,BOGOTA, D.C.,CHVC,tarifa media Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Tarifa Media
339,BOGOTA, D.C.,CDSD,tarifa media Empresa Departamento y Municipio,489.55,485.25,485.95,498.01,483.08,485.06,486.15,475.77,460.69,498.55,488.46,478.64,2018,Rural,Tarifa Media
340,BOGOTA, D.C.,CTSD,tarifa media Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Tarifa Media
341,BOGOTA, D.C.,DCLC,tarifa media Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.95,0.0,0.0,381.95,2018,Rural,Tarifa Media
342,BOGOTA, D.C.,EDCD,tarifa media Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Tarifa Media
343,BOGOTA, D.C.,HLAD,tarifa media Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Tarifa Media
344,BOGOTA, D.C.,ENDC,tarifa media Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.54,305.28,0.0,413.34,305.55,2018,Rural,Tarifa Media
345,BOGOTA, D.C.,EPSD,tarifa media Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Tarifa Media
346,BOGOTA, D.C.,EEPD,tarifa media Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Tarifa Media
347,BOGOTA, D.C.,EMID,tarifa media Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Rural,Tarifa Media
348,BOGOTA, D.C.,EPMD,tarifa media Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.9,0.0,0.0,0.0,322.9,2018,Rural,Tarifa Media
