,Departamento,Municipio,Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial,year,land_type,data_type
338,BOGOTA, D.C.,CHVC,Valor Consumo Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3981423131.0,344432763.0,0.0,0.0,4325855894.0,2018,Urbano,Valor Consumo
339,BOGOTA, D.C.,CDSD,Valor Consumo Empresa Departamento y Municipio,118333565580.0,618127014489.0,626768917856.0,254266480536.0,104495554884.0,118080922633.0,1840072455978.0,279489068450.0,838387743255.0,89473786831.0,196764538928.0,1404115137464.0,2018,Urbano,Valor Consumo
340,BOGOTA, D.C.,CTSD,Valor Consumo Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1419639182.0,362839169.0,0.0,1782478351.0,2018,Urbano,Valor Consumo
341,BOGOTA, D.C.,DCLC,Valor Consumo Empresa Departamento y Municipio,0.0,118854898.06,107156090.0,60311633.0,0.0,41982661.24,328305282.3,27968240415.0,28887299158.0,1040063798.0,245004397.0,58140607768.0,2018,Urbano,Valor Consumo
342,BOGOTA, D.C.,EDCD,Valor Consumo Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10383133075.73,7698334190.23,0.0,0.0,18081467265.96,2018,Urbano,Valor Consumo
343,BOGOTA, D.C.,HLAD,Valor Consumo Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169940702.0,230513437.0,0.0,0.0,400454139.0,2018,Urbano,Valor Consumo
344,BOGOTA, D.C.,ENDC,Valor Consumo Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229084718609.0,111535269613.0,10363759227.0,49682144828.0,400665892277.0,2018,Urbano,Valor Consumo
345,BOGOTA, D.C.,EPSD,Valor Consumo Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25885309569.82,27032114781.22,470208659.41,0.0,53387633010.45,2018,Urbano,Valor Consumo
346,BOGOTA, D.C.,EEPD,Valor Consumo Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1057410740.0,0.0,0.0,1057410740.0,2018,Urbano,Valor Consumo
347,BOGOTA, D.C.,EMID,Valor Consumo Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645083094.32,4183244589.83,25253456156.06,829357437.33,30911141277.54,2018,Urbano,Valor Consumo
348,BOGOTA, D.C.,EPMD,Valor Consumo Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10893451712.0,23292424696.0,2926154594.0,696966930.0,37808997932.0,2018,Urbano,Valor Consumo
349,BOGOTA, D.C.,NRCC,Valor Consumo Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34451084.0,178279908.0,10019917.0,0.0,222750909.0,2018,Urbano,Valor Consumo
350,BOGOTA, D.C.,RQEC,Valor Consumo Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1572174586.0,0.0,0.0,132815291.0,1704989877.0,2018,Urbano,Valor Consumo
351,BOGOTA, D.C.,ETTC,Valor Consumo Empresa Departamento y Municipio,0.0,583794.11,3711918.73,104844363.64,273186866.71,508074797.75,890401740.94,16910640667.0,19136126909.0,176787800.0,4237416445.0,40460971821.0,2018,Urbano,Valor Consumo
352,BOGOTA, D.C.,ISGC,Valor Consumo Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68074809127.0,0.0,0.0,0.0,68074809127.0,2018,Urbano,Valor Consumo
353,BOGOTA, D.C.,PEEC,Valor Consumo Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1253018257.0,3551704109.0,134833136.0,2908616108.0,7848171610.0,2018,Urbano,Valor Consumo
354,BOGOTA, D.C.,RTQD,Valor Consumo Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1218326395.0,4111708723.0,0.0,2291334959.0,7621370077.0,2018,Urbano,Valor Consumo
355,BOGOTA, D.C.,TPLC,Valor Consumo Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1210552529.0,0.0,0.0,1210552529.0,2018,Urbano,Valor Consumo
356,BOGOTA, D.C.,GNCC,Valor Consumo Empresa Departamento y Municipio,0.0,0.0,423265050.0,245375425.0,520649378.0,14980488.0,1204270341.0,10922999000.0,29534431972.01,0.0,320930187.0,40778361159.01,2018,Urbano,Valor Consumo
0,ANTIOQUIA,ABEJORRAL,EPMD,Valor Consumo Empresa Departamento y Municipio,252438139.7,851086295.07,111836159.67,426075.44,0.0,0.0,1215786669.88,42031513.84,329219063.13,114061204.77,111773635.65,597085417.39,2018,Urbano,Valor Consumo
1,ANTIOQUIA,ABEJORRAL,ETTC,Valor Consumo Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30583002.0,0.0,0.0,30583002.0,2018,Urbano,Valor Consumo
2,ANTIOQUIA,ABRIAQUI,EPMD,Valor Consumo Empresa Departamento y Municipio,9455228.82,75934334.45,16135842.98,0.0,0.0,0.0,101525406.25,5536114.64,34034786.32,13535345.71,0.0,53106246.67,2018,Urbano,Valor Consumo
3,ANTIOQUIA,ALEJANDRIA,EPMD,Valor Consumo Empresa Departamento y Municipio,23678250.98,252220188.68,68497898.86,110102.61,0.0,0.0,344506441.13,10500613.03,149985979.14,20464049.77,3918154.77,184868796.71,2018,Urbano,Valor Consumo
4,ANTIOQUIA,AMAGA,HLAD,Valor Consumo Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Urbano,Valor Consumo
5,ANTIOQUIA,AMAGA,EPMD,Valor Consumo Empresa Departamento y Municipio,229133756.98,1700837633.52,203171416.74,4763535.1,0.0,0.0,2137906342.34,12936263.16,894823573.29,101346629.25,406839971.16,1415946436.86,2018,Urbano,Valor Consumo
6,ANTIOQUIA,AMAGA,GNCC,Valor Consumo Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170979709.0,0.0,0.0,0.0,170979709.0,2018,Urbano,Valor Consumo
7,ANTIOQUIA,AMALFI,EPMD,Valor Consumo Empresa Departamento y Municipio,377204104.44,697174445.93,745476821.13,4303403.5,627428.21,0.0,1824786203.21,134826688.12,538447139.55,182334505.02,26161549.69,881769882.38,2018,Urbano,Valor Consumo
8,ANTIOQUIA,ANDES,EPMD,Valor Consumo Empresa Departamento y Municipio,692439456.23,1610836669.28,509647699.44,22655627.35,0.0,0.0,2835579452.3,195963195.21,1863584469.31,216615774.53,33654393.89,2309817832.94,2018,Urbano,Valor Consumo
9,ANTIOQUIA,ANDES,ETTC,Valor Consumo Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Urbano,Valor Consumo
10,ANTIOQUIA,ANGELOPOLIS,EPMD,Valor Consumo Empresa Departamento y Municipio,13678081.97,191313330.51,68973044.2,2394652.97,0.0,0.0,276359109.65,20938832.91,86189276.87,25402192.31,1047836.39,133578138.48,2018,Urbano,Valor Consumo
11,ANTIOQUIA,ANGOSTURA,EPMD,Valor Consumo Empresa Departamento y Municipio,63405637.04,190154623.55,127905205.9,62387.69,0.0,0.0,381527854.18,14183.67,123911332.71,47010533.93,47072424.5,218008474.81,2018,Urbano,Valor Consumo
12,ANTIOQUIA,ANORI,EPMD,Valor Consumo Empresa Departamento y Municipio,159736888.83,496741015.35,209725467.15,322331.76,0.0,0.0,866525703.09,22909212.07,360904414.97,93124202.23,15775881.53,492713710.8,2018,Urbano,Valor Consumo
13,ANTIOQUIA,ANZA,EPMD,Valor Consumo Empresa Departamento y Municipio,55188428.79,147800712.12,101954910.13,388337.23,0.0,0.0,305332388.27,4826541.47,125427725.04,42992780.92,24157003.44,197404050.87,2018,Urbano,Valor Consumo
14,ANTIOQUIA,APARTADO,DCLC,Valor Consumo Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15474801.0,0.0,0.0,15474801.0,2018,Urbano,Valor Consumo
