,Departamento,Municipio,Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial,year,land_type,data_type
338,BOGOTA, D.C.,CHVC,Consumos Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12134546,926297,0,0,13060843.0,2018,Urbano,Consumo
339,BOGOTA, D.C.,CDSD,Consumos Empresa Departamento y Municipio,240735448.0,1265286659.0,1285047155.0,525095895.0,215222959.0,243986793.0,3775374909.0,596248114,1775947179,210214323,445456634,3027866250.0,2018,Urbano,Consumo
340,BOGOTA, D.C.,CTSD,Consumos Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3581402,887902,0,4469304.0,2018,Urbano,Consumo
341,BOGOTA, D.C.,DCLC,Consumos Empresa Departamento y Municipio,0.0,267494.0,241014.0,124908.0,0.0,94663.0,728079.0,69724588,70888138,2678734,358584,143650044.0,2018,Urbano,Consumo
342,BOGOTA, D.C.,EDCD,Consumos Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30038524,19657986,0,0,49696510.0,2018,Urbano,Consumo
343,BOGOTA, D.C.,HLAD,Consumos Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504144,763242,0,0,1267386.0,2018,Urbano,Consumo
344,BOGOTA, D.C.,ENDC,Consumos Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691203305,326413908,29503060,139314750,1186435023.0,2018,Urbano,Consumo
345,BOGOTA, D.C.,EPSD,Consumos Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67461843,75581622,1264071,0,144307536.0,2018,Urbano,Consumo
346,BOGOTA, D.C.,EEPD,Consumos Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2852012,0,0,2852012.0,2018,Urbano,Consumo
347,BOGOTA, D.C.,EMID,Consumos Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1686518,11163566,61758500,2166253,76774837.0,2018,Urbano,Consumo
348,BOGOTA, D.C.,EPMD,Consumos Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32283607,71871412,7807625,1791951,113754595.0,2018,Urbano,Consumo
349,BOGOTA, D.C.,NRCC,Consumos Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78293,416639,22040,0,516972.0,2018,Urbano,Consumo
350,BOGOTA, D.C.,RQEC,Consumos Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4332212,0,0,313590,4645802.0,2018,Urbano,Consumo
351,BOGOTA, D.C.,ETTC,Consumos Empresa Departamento y Municipio,0.0,1103.0,6979.0,207875.69,513542.0,956274.0,1685773.69,36982917,40102983,403689,9150876,86640465.0,2018,Urbano,Consumo
352,BOGOTA, D.C.,ISGC,Consumos Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208669866,0,0,0,208669866.0,2018,Urbano,Consumo
353,BOGOTA, D.C.,PEEC,Consumos Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3408263,8758324,306323,7628984,20101894.0,2018,Urbano,Consumo
354,BOGOTA, D.C.,RTQD,Consumos Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2784887,10066705,0,6120454,18972046.0,2018,Urbano,Consumo
355,BOGOTA, D.C.,TPLC,Consumos Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7641323,0,0,7641323.0,2018,Urbano,Consumo
356,BOGOTA, D.C.,GNCC,Consumos Empresa Departamento y Municipio,0.0,0.0,952700.0,552472.0,1171613.0,33840.0,2710625.0,27193443,68536818,0,793463,96523724.0,2018,Urbano,Consumo
0,ANTIOQUIA,ABEJORRAL,EPMD,Consumos Empresa Departamento y Municipio,516474.0,1741406.0,228920.0,880.0,0.0,0.0,2487680.0,87893,678176,234521,276020,1276610.0,2018,Urbano,Consumo
1,ANTIOQUIA,ABEJORRAL,ETTC,Consumos Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53186,0,0,53186.0,2018,Urbano,Consumo
2,ANTIOQUIA,ABRIAQUI,EPMD,Consumos Empresa Departamento y Municipio,19359.0,155508.0,33011.0,0.0,0.0,0.0,207878.0,11878,72076,27720,0,111674.0,2018,Urbano,Consumo
3,ANTIOQUIA,ALEJANDRIA,EPMD,Consumos Empresa Departamento y Municipio,48449.0,516405.0,140214.0,225.0,0.0,0.0,705293.0,21543,310418,41871,7996,381828.0,2018,Urbano,Consumo
4,ANTIOQUIA,AMAGA,HLAD,Consumos Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2018,Urbano,Consumo
5,ANTIOQUIA,AMAGA,EPMD,Consumos Empresa Departamento y Municipio,468096.0,3464958.0,415297.0,10035.0,0.0,0.0,4358386.0,27703,1846679,206293,1008351,3089026.0,2018,Urbano,Consumo
6,ANTIOQUIA,AMAGA,GNCC,Consumos Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435125,0,0,0,435125.0,2018,Urbano,Consumo
