,Departamento,Municipio,Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial,year,land_type,data_type
338,BOGOTA, D.C.,CHVC,usuarios Empresa Departamento y Municipio,0,0,0,0,0,0,0,0,0,0,0,0.0,2018,Rural,Suscriptores
339,BOGOTA, D.C.,CDSD,usuarios Empresa Departamento y Municipio,902,1914,60,24,21,150,3071,50,115,23,22,210.0,2018,Rural,Suscriptores
340,BOGOTA, D.C.,CTSD,usuarios Empresa Departamento y Municipio,0,0,0,0,0,0,0,0,0,0,0,0.0,2018,Rural,Suscriptores
341,BOGOTA, D.C.,DCLC,usuarios Empresa Departamento y Municipio,0,0,0,0,0,0,0,0,1,0,0,1.0,2018,Rural,Suscriptores
342,BOGOTA, D.C.,EDCD,usuarios Empresa Departamento y Municipio,0,0,0,0,0,0,0,0,0,0,0,0.0,2018,Rural,Suscriptores
343,BOGOTA, D.C.,HLAD,usuarios Empresa Departamento y Municipio,0,0,0,0,0,0,0,0,0,0,0,0.0,2018,Rural,Suscriptores
344,BOGOTA, D.C.,ENDC,usuarios Empresa Departamento y Municipio,0,0,0,0,0,0,0,22,3,0,3,28.0,2018,Rural,Suscriptores
345,BOGOTA, D.C.,EPSD,usuarios Empresa Departamento y Municipio,0,0,0,0,0,0,0,0,0,0,0,0.0,2018,Rural,Suscriptores
346,BOGOTA, D.C.,EEPD,usuarios Empresa Departamento y Municipio,0,0,0,0,0,0,0,0,0,0,0,0.0,2018,Rural,Suscriptores
347,BOGOTA, D.C.,EMID,usuarios Empresa Departamento y Municipio,0,0,0,0,0,0,0,0,0,0,0,0.0,2018,Rural,Suscriptores
348,BOGOTA, D.C.,EPMD,usuarios Empresa Departamento y Municipio,0,0,0,0,0,0,0,4,0,0,0,4.0,2018,Rural,Suscriptores
349,BOGOTA, D.C.,NRCC,usuarios Empresa Departamento y Municipio,0,0,0,0,0,0,0,1,1,0,0,2.0,2018,Rural,Suscriptores
350,BOGOTA, D.C.,RQEC,usuarios Empresa Departamento y Municipio,0,0,0,0,0,0,0,0,0,0,0,0.0,2018,Rural,Suscriptores
351,BOGOTA, D.C.,ETTC,usuarios Empresa Departamento y Municipio,0,0,1,0,0,0,1,10,3,0,2,15.0,2018,Rural,Suscriptores
352,BOGOTA, D.C.,ISGC,usuarios Empresa Departamento y Municipio,0,0,0,0,0,0,0,0,0,0,0,0.0,2018,Rural,Suscriptores
353,BOGOTA, D.C.,PEEC,usuarios Empresa Departamento y Municipio,0,0,0,0,0,0,0,4,0,1,0,5.0,2018,Rural,Suscriptores
354,BOGOTA, D.C.,RTQD,usuarios Empresa Departamento y Municipio,0,0,0,0,0,0,0,0,0,0,0,0.0,2018,Rural,Suscriptores
355,BOGOTA, D.C.,TPLC,usuarios Empresa Departamento y Municipio,0,0,0,0,0,0,0,0,0,0,0,0.0,2018,Rural,Suscriptores
356,BOGOTA, D.C.,GNCC,usuarios Empresa Departamento y Municipio,0,0,1,0,0,0,1,13,1,0,0,14.0,2018,Rural,Suscriptores
0,ANTIOQUIA,ABEJORRAL,EPMD,usuarios Empresa Departamento y Municipio,1942,2079,136,27,2,0,4186,36,76,81,2,195.0,2018,Rural,Suscriptores
1,ANTIOQUIA,ABEJORRAL,ETTC,usuarios Empresa Departamento y Municipio,0,0,0,0,0,0,0,0,0,0,0,0.0,2018,Rural,Suscriptores
2,ANTIOQUIA,ABRIAQUI,EPMD,usuarios Empresa Departamento y Municipio,186,301,42,0,0,1,530,4,20,10,1,35.0,2018,Rural,Suscriptores
3,ANTIOQUIA,ALEJANDRIA,EPMD,usuarios Empresa Departamento y Municipio,348,453,101,9,0,1,912,4,10,20,2,36.0,2018,Rural,Suscriptores
