,Departamento,Municipio,Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial,year,land_type,data_type
338,BOGOTA, D.C.,CHVC,Total Facturado Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5318888330.0,2018,Rural,Total Facturado
339,BOGOTA, D.C.,CDSD,Total Facturado Empresa Departamento y Municipio,312234540.0,870042773.0,35490453.0,12042780.0,26179707.0,301644964.0,1564527515684,493570648.0,335113017.0,375452750.0,51780517.0,1611029208698.0,2018,Rural,Total Facturado
340,BOGOTA, D.C.,CTSD,Total Facturado Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1828256160.0,2018,Rural,Total Facturado
341,BOGOTA, D.C.,DCLC,Total Facturado Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,297528187,0.0,104478979.0,0.0,0.0,64046162579.57,2018,Rural,Total Facturado
342,BOGOTA, D.C.,EDCD,Total Facturado Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19927304650.0,2018,Rural,Total Facturado
343,BOGOTA, D.C.,HLAD,Total Facturado Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,417820230.0,2018,Rural,Total Facturado
344,BOGOTA, D.C.,ENDC,Total Facturado Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0,33438736211.0,9559821279.0,0.0,881712694.0,461906629260.0,2018,Rural,Total Facturado
345,BOGOTA, D.C.,EPSD,Total Facturado Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,58902648040.01,2018,Rural,Total Facturado
346,BOGOTA, D.C.,EEPD,Total Facturado Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1268892888.0,2018,Rural,Total Facturado
347,BOGOTA, D.C.,EMID,Total Facturado Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,31790501936.0,2018,Rural,Total Facturado
348,BOGOTA, D.C.,EPMD,Total Facturado Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0,11563516993.0,0.0,0.0,0.0,54620670669.55,2018,Rural,Total Facturado
349,BOGOTA, D.C.,NRCC,Total Facturado Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0,5484646.0,11709566.0,0.0,0.0,270263724.0,2018,Rural,Total Facturado
350,BOGOTA, D.C.,RQEC,Total Facturado Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3324031350.0,2018,Rural,Total Facturado
351,BOGOTA, D.C.,ETTC,Total Facturado Empresa Departamento y Municipio,0.0,0.0,1247794.81,0.0,0.0,0.0,930479007,1157951523.0,17531022.0,0.0,43311721.0,56886705681.0,2018,Rural,Total Facturado
352,BOGOTA, D.C.,ISGC,Total Facturado Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,68307216698.0,2018,Rural,Total Facturado
353,BOGOTA, D.C.,PEEC,Total Facturado Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0,580946910.0,0.0,10589871.0,0.0,9140116868.96,2018,Rural,Total Facturado
354,BOGOTA, D.C.,RTQD,Total Facturado Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8572394230.0,2018,Rural,Total Facturado
355,BOGOTA, D.C.,TPLC,Total Facturado Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3227439059.0,2018,Rural,Total Facturado
356,BOGOTA, D.C.,GNCC,Total Facturado Empresa Departamento y Municipio,0.0,0.0,421364.0,0.0,0.0,0.0,1341832680,1119385126.0,19694295.0,0.0,0.0,48322190250.0,2018,Rural,Total Facturado
0,ANTIOQUIA,ABEJORRAL,EPMD,Total Facturado Empresa Departamento y Municipio,514757002.85,688306690.21,68013511.31,17646042.53,2071867.18,0.0,1973708307,81331133.13,53712361.29,31178212.22,1910956.36,1032159332.39,2018,Rural,Total Facturado
1,ANTIOQUIA,ABEJORRAL,ETTC,Total Facturado Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,37598908.0,2018,Rural,Total Facturado
2,ANTIOQUIA,ABRIAQUI,EPMD,Total Facturado Empresa Departamento y Municipio,35459162.04,67447631.83,12678129.86,0.0,0.0,664694.33,196071975,21973875.25,40308618.06,3090711.83,25871481.03,428280537.31,2018,Rural,Total Facturado
3,ANTIOQUIA,ALEJANDRIA,EPMD,Total Facturado Empresa Departamento y Municipio,73516505.82,96511574.39,32311748.8,3042981.32,0.0,187539.21,568771329,5287520.89,799466.98,9668477.43,31771393.65,332369402.29,2018,Rural,Total Facturado
4,ANTIOQUIA,AMAGA,HLAD,Total Facturado Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0,243336719.0,0.0,0.0,0.0,267430220.0,2018,Rural,Total Facturado
5,ANTIOQUIA,AMAGA,EPMD,Total Facturado Empresa Departamento y Municipio,1296786982.21,768826463.7,239051852.12,140505296.77,141136723.03,63747110.91,4004311871,6980603210.89,293461796.67,42795337.28,114984844.67,20061526271.48,2018,Rural,Total Facturado
6,ANTIOQUIA,AMAGA,GNCC,Total Facturado Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0,157769451.0,0.0,0.0,0.0,331124630.0,2018,Rural,Total Facturado
7,ANTIOQUIA,AMALFI,EPMD,Total Facturado Empresa Departamento y Municipio,443198623.65,300524796.32,99294514.6,5751930.76,15198080.05,11985559.61,2830640969,240622975.34,13118508.99,38231299.74,131893792.68,1753477008.19,2018,Rural,Total Facturado
8,ANTIOQUIA,ANDES,EPMD,Total Facturado Empresa Departamento y Municipio,317228312.82,2044799537.82,344658367.87,45302103.54,3611430.3,0.0,4666963599,436716384.6,245943564.11,153937562.46,210754669.1,4952187553.7,2018,Rural,Total Facturado
9,ANTIOQUIA,ANDES,ETTC,Total Facturado Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,87059929.0,86961908.0,2018,Rural,Total Facturado
10,ANTIOQUIA,ANGELOPOLIS,EPMD,Total Facturado Empresa Departamento y Municipio,293793520.33,242972872.95,28583490.65,4990958.15,204906.92,0.0,693643366,1023497669.33,57252404.62,10136421.55,49837966.11,1824577200.62,2018,Rural,Total Facturado
11,ANTIOQUIA,ANGOSTURA,EPMD,Total Facturado Empresa Departamento y Municipio,653822013.26,473557366.77,56966322.91,5162171.5,0.0,0.0,1784573427,107195635.08,66559619.94,30008612.24,1834480.81,636055980.09,2018,Rural,Total Facturado
12,ANTIOQUIA,ANORI,EPMD,Total Facturado Empresa Departamento y Municipio,306639166.95,181860857.37,18629380.81,2672736.31,0.0,0.0,2204968553,198647190.41,59134991.19,29739392.1,43521404.01,1875511351.13,2018,Rural,Total Facturado
13,ANTIOQUIA,ANZA,EPMD,Total Facturado Empresa Departamento y Municipio,248327108.38,256594508.34,30733678.77,4323419.61,1734330.93,56785.29,779822463,18012233.55,4816259.65,11077539.62,30325712.96,352506517.2,2018,Rural,Total Facturado
14,ANTIOQUIA,APARTADO,DCLC,Total Facturado Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15590895.0,2018,Rural,Total Facturado
15,ANTIOQUIA,APARTADO,EDCD,Total Facturado Empresa Departamento y Municipio,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,497456773.0,2018,Rural,Total Facturado
16,ANTIOQUIA,APARTADO,EPMD,Total Facturado Empresa Departamento y Municipio,1272187827.87,350371489.39,115828952.85,50082947.26,4377586.79,0.0,28479994526,2350938073.2,1287538680.55,343800868.88,1057176874.13,32541470878.68,2018,Rural,Total Facturado
